workerCounter,assignmentId,workerId,hitId,trial type,set,global index,reaction time,response1,response2,responseLoc1,responseLoc2,stimulus1,stimulus2,stimulus3
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,101,1826,3,7,0,1,3,7,2
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,102,2570,4,2,0,1,4,2,1
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,103,1341,2,6,1,0,6,2,3
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,104,1617,6,1,1,2,7,6,1
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,105,2043,6,3,2,0,3,4,6
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,106,22376,7,4,2,0,4,1,7
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,107,17977,1,2,2,0,2,5,1
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,108,1665,5,2,0,2,5,3,2
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,109,1011,5,6,0,2,5,4,6
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,110,2946,3,4,2,1,7,4,3
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,111,2890,2,5,1,0,5,2,7
